int_id,app_dir,traf_dir,N_dc,N_th,v_rt,v_lt,v_th,v_rtor,v_ltperm,v_p,v_bth,v_bl,v_br,p_bl2,N_rtcid,g,gped,l,C,W_c,W_cd,M_yp,M_yb,S_p,S_b,t_sb,t_sp,control
El Molino Ave,S,NB,2,2,34,10,291,17,5,70,0,3,2,0.5,0,31.7,31.7,3.3,70,12,52,0.5,0.1,3.5,10,3,3,Signalized
El Molino Ave,N,SB,2,2,48,132,682,24,66,120,26,3,0,0.5,0,31.7,31.7,3.3,70,12,52,0.5,0.1,3.5,10,3,3,Signalized
El Molino Ave,E,WB,5,4,36,20,280,18,10,160,40,62,36,0.5,0,31.1,31.1,3.9,70,12,64,0.5,0.1,3.5,10,3,3,Signalized
El Molino Ave,W,EB,5,4,88,64,187,44,32,120,15,8,0,0.5,0,31.1,31.1,3.9,70,12,64,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,S,NB,2,2,,,,,,,,,,,0,,,,70,,,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,N,SB,2,2,36,9,0,18,4.5,116,0,14,3,0.5,0,,,,70,12,40,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,E,WB,6,4,0,15,315,0,7.5,0,72,2,0,0.5,0,,,,70,12,50,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,W,EB,6,4,10,0,212,5,0,0,8,0,1,0.5,0,,,,70,12,50,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,S,NB,4,2,354,42,254,177,21,170,24,2,0,0.5,0,24,24,3,70,12,60,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,N,SB,2,2,28,46,483,14,23,66,3,2,1,0.5,0,24,24,3,70,12,90,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,E,WB,6,4,82,41,279,41,20.5,160,33,56,0,0.5,0,29,29,3,70,12,48,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,W,EB,6,4,19,255,188,9.5,127.5,118,7,7,0,0.5,0,56,56,3,70,12,53,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,S,NB,6,4,,,,,,,,,,,0,,,,80,,,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,N,SB,6,4,87,0,0,43.5,0,144,0,6,1,0.5,0,,,,80,12,28,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,E,WB,6,4,0,0,652,0,0,0,45,1,0,0.5,0,,,,80,12,50,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,W,EB,6,4,9,0,337,4.5,0,146,1,0,0,0.5,0,,,,80,12,50,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,S,NB,4,2,,,,,,,,,,,0,,,,70,,,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,N,SB,4,2,93,2,0,46.5,1,149,0,0,6,0.5,0,6,6,3,70,12,74,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,E,WB,6,4,0,144,498,0,72,96,18,0,0,0.5,0,32,32,3,70,12,45,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,W,EB,6,4,9,0,253,4.5,0,37,2,0,0,0.5,0,19,19,3,70,12,45,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,S,NB,2,2,,,,,,63,6,0,0,0.5,0,,,,70,,,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,N,SB,2,2,104,44,0,52,22,102,43,2,2,0.5,0,29,29,3,70,12,35,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,E,WB,6,4,0,87,401,0,43.5,171,3,0,0,0.5,0,31,31,3,70,12,42,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,W,EB,6,4,17,0,189,8.5,0,320,5,0,0,0.5,0,18,18,3,70,12,42,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,S,NB,6,2,,,,,,,,,,,0,,,,70,,,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,N,SB,6,2,17,11,0,8.5,5.5,120,0,1,1,0.5,0,18,18,3,70,12,33,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,E,WB,6,4,0,24,421,0,12,206,3,1,0,0.5,0,34,34,3,70,12,30,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,W,EB,6,4,10,0,181,5,0,94,5,0,0,0.5,0,34,34,3,70,12,30,0.5,0.1,3.5,10,3,3,Signalized
