int_id,app_dir,traf_dir,N_dc,N_th,v_rt,v_lt,v_th,v_rtor,v_ltperm,v_p,v_bth,v_bl,v_br,p_bl2,N_rtcid,g,gped,l,C,Walkmi,W_c,W_cd,M_yp,M_yb,S_p,S_b,t_sb,t_sp,control
El Molino Ave,S,NB,2,2,130,90,320,65,90,50,25,10,10,0.5,0,42,7,2,70,7,12,52,0.5,0.1,3.5,10,3,3,Signalized
El Molino Ave,N,SB,2,2,100,100,320,50,100,50,25,10,10,0.5,0,42,7,2,70,7,12,52,0.5,0.1,3.5,10,3,3,Signalized
El Molino Ave,E,WB,5,4,70,110,1025,35,110,50,25,10,10,0.5,0,42,7,2,70,7,12,64,0.5,0.1,3.5,10,3,3,Signalized
El Molino Ave,W,EB,5,4,65,95,1020,32.5,95,50,25,10,10,0.5,0,42,7,2,70,7,12,64,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,S,NB,2,2,149,82,93,74.5,82,50,25,10,10,0.5,0,42,7,2,70,7,,,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,N,SB,2,2,91,103,164,45.5,103,50,25,10,10,0.5,0,42,7,2,70,7,12,40,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,E,WB,6,4,73,117,1113,36.5,117,50,25,10,10,0.5,0,42,7,2,70,7,12,50,0.5,0.1,3.5,10,3,3,Signalized
Oak Knoll Ave,W,EB,6,4,80,295,1114,40,295,50,25,10,10,0.5,0,42,7,2,70,7,12,50,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,S,NB,4,2,139,85,183,69.5,85,50,25,10,10,0.5,0,42,7,2,70,7,12,60,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,N,SB,2,2,0,0,0,0,0,50,25,10,10,0.5,0,42,7,2,70,7,12,90,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,E,WB,6,4,71,0,1110,35.5,0,50,25,10,10,0.5,0,42,7,2,70,7,12,48,0.5,0.1,3.5,10,3,3,Signalized
Hudson Ave,W,EB,6,4,0,138,1064,0,138,50,25,10,10,0.5,0,42,7,2,70,7,12,53,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,S,NB,6,4,135,210,1030,67.5,210,50,25,10,10,0.5,0,38.4,5,2,80,5,,,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,N,SB,6,4,285,275,995,142.5,275,50,25,10,10,0.5,0,38.4,5,2,80,5,12,28,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,E,WB,6,4,270,130,720,135,130,50,25,10,10,0.5,0,38.4,5,2,80,5,12,50,0.5,0.1,3.5,10,3,3,Signalized
Lake Ave,W,EB,6,4,170,255,825,85,255,50,25,10,10,0.5,0,38.4,5,2,80,5,12,50,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,S,NB,4,2,0,0,0,0,0,50,25,10,10,0.5,0,42,5,2,70,5,,,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,N,SB,4,2,75,75,490,37.5,75,50,25,10,10,0.5,0,42,7,2,70,7,12,74,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,E,WB,6,4,0,60,1015,0,60,50,25,10,10,0.5,0,42,7,2,70,7,12,45,0.5,0.1,3.5,10,3,3,Signalized
Mentor Ave,W,EB,6,4,120,0,1155,60,0,50,25,10,10,0.5,0,42,7,2,70,7,12,45,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,S,NB,2,2,80,120,160,40,120,50,25,10,10,0.5,0,42,5,2,70,5,,,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,N,SB,2,2,45,25,55,22.5,25,50,25,10,10,0.5,0,42,5,2,70,5,12,35,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,E,WB,6,4,35,45,945,17.5,45,50,25,10,10,0.5,0,42,5,2,70,5,12,42,0.5,0.1,3.5,10,3,3,Signalized
Catalina Ave,W,EB,6,4,40,65,1095,20,65,50,25,10,10,0.5,0,42,5,2,70,5,12,42,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,S,NB,6,2,77,70,379,38.5,70,50,25,10,10,0.5,0,42,7,2,70,7,,,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,N,SB,6,2,38,48,203,19,48,50,25,10,10,0.5,0,42,7,2,70,7,12,33,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,E,WB,6,4,62,46,926,31,46,50,25,10,10,0.5,0,42,7,2,70,7,12,30,0.5,0.1,3.5,10,3,3,Signalized
Wilson Ave,W,EB,6,4,33,50,1137,16.5,50,50,25,10,10,0.5,0,42,7,2,70,7,12,30,0.5,0.1,3.5,10,3,3,Signalized
