int_id,app_dir,traf_dir,N_dc,N_th,v_rt,v_lt,v_th,v_rtor,v_ltperm,v_p,v_bth,v_bl,v_br,p_bl2,N_rtcid,g,gped,l,C,Walkmi,W_c,W_cd,M_yp,M_yb,S_p,S_b,t_sb,t_sp,control
Shattuck,S,NB,5,4,34,10,291,17,5,70,0,3,2,0.5,0,31.7,31.7,3.3,90,31.7,12,52,0.5,0.1,3.5,10,3,3,Signalized
Shattuck,N,SB,5,4,48,132,682,24,66,120,26,3,0,0.5,0,31.7,31.7,3.3,90,31.7,12,52,0.5,0.1,3.5,10,3,3,Signalized
Shattuck,E,WB,4,2,36,20,280,18,10,160,40,62,36,0.5,0,31.1,31.1,3.9,90,31.1,12,64,0.5,0.1,3.5,10,3,3,Signalized
Shattuck,W,EB,4,2,88,64,187,44,32,120,15,8,0,0.5,0,31.1,31.1,3.9,90,31.1,12,64,0.5,0.1,3.5,10,3,3,Signalized
Walnut,S,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Walnut,N,SB,2,2,36,9,0,18,4.5,116,0,14,3,0.5,0,,,,,,12,40,0.5,0.1,3.5,10,3,3,TWSC - Stop
Walnut,E,WB,3,2,0,15,315,0,7.5,0,72,2,0,0.5,0,,,,,,12,50,0.5,0.1,3.5,10,3,3,Uncontrolled
Walnut,W,EB,3,2,10,0,212,5,0,0,8,0,1,0.5,0,,,,,,12,50,0.5,0.1,3.5,10,3,3,Uncontrolled
Oxford,S,NB,4,4,354,42,254,177,21,170,24,2,0,0.5,0,24,24,3,90,24,12,60,0.5,0.1,3.5,10,3,3,Signalized
Oxford,N,SB,4,4,28,46,483,14,23,66,3,2,1,0.5,0,24,24,3,90,24,12,90,0.5,0.1,3.5,10,3,3,Signalized
Oxford,E,WB,4,4,82,41,279,41,20.5,160,33,56,0,0.5,0,29,29,3,90,29,12,48,0.5,0.1,3.5,10,3,3,Signalized
Oxford,W,EB,4,4,19,255,188,9.5,127.5,118,7,7,0,0.5,0,56,56,3,90,56,12,53,0.5,0.1,3.5,10,3,3,Signalized
Spruce,S,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spruce,N,SB,2,2,87,0,0,43.5,0,144,0,6,1,0.5,0,,,,,,12,28,0.5,0.1,3.5,10,3,3,TWSC - Stop
Spruce,E,WB,1,2,0,0,652,0,0,0,45,1,0,0.5,0,,,,,,12,50,0.5,0.1,3.5,10,3,3,Uncontrolled
Spruce,W,EB,1,2,9,0,337,4.5,0,146,1,0,0,0.5,0,,,,,,12,50,0.5,0.1,3.5,10,3,3,Uncontrolled
Arch/Le Conte,S,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arch/Le Conte,N,SB,3,2,93,2,0,46.5,1,149,0,0,6,0.5,0,6,6,3,69,6,12,74,0.5,0.1,3.5,10,3,3,Signalized
Arch/Le Conte,E,WB,3,2,0,144,498,0,72,96,18,0,0,0.5,0,32,32,3,69,32,12,45,0.1,0.1,3.5,10,3,3,Signalized
Arch/Le Conte,W,EB,2,2,9,0,253,4.5,0,37,2,0,0,0.5,0,19,19,3,69,19,12,45,0.1,0.1,3.5,10,3,3,Signalized
Euclid,S,NB,2,2,,,,,,63,6,0,0,0.5,,,,,,,,,,,,,,,
Euclid,N,SB,2,2,104,44,0,52,22,102,43,2,2,0.5,0,29,29,3,75,29,12,35,0.5,0.1,3.5,10,3,3,Signalized
Euclid,E,WB,3,2,0,87,401,0,43.5,171,3,0,0,0.5,0,31,31,3,75,31,12,42,0.1,0.1,3.5,10,3,3,Signalized
Euclid,W,EB,3,2,17,0,189,8.5,0,320,5,0,0,0.5,0,18,18,3,75,18,12,42,0.1,0.1,3.5,10,3,3,Signalized
Le Roy,S,NB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Le Roy,N,SB,2,2,17,11,0,8.5,5.5,120,0,1,1,0.5,0,18,18,3,60,18,12,33,0.5,0.1,3.5,10,3,3,Signalized
Le Roy,E,WB,2,2,0,24,421,0,12,206,3,1,0,0.5,0,34,34,3,60,34,12,30,0.1,0.1,3.5,10,3,3,Signalized
Le Roy,W,EB,2,2,10,0,181,5,0,94,5,0,0,0.5,0,34,34,3,60,34,12,30,0.1,0.1,3.5,10,3,3,Signalized
La Loma,S,NB,2,2,95,183,159,47.5,91.5,11,47,2,2,0.5,0,34.5,34.5,3.5,65,34.5,12,34,0.5,0.1,3.5,10,3,3,Signalized
La Loma,N,SB,2,2,15,224,10,7.5,112,59,7,0,0,0.5,0,34.5,34.5,3.5,65,34.5,12,44,0.5,0.1,3.5,10,3,3,Signalized
La Loma,E,WB,3,2,243,24,164,121.5,12,44,7,1,0,0.5,0,21.5,21.5,3.5,65,21.5,12,41,0.5,0.1,3.5,10,3,3,Signalized
La Loma,W,EB,3,2,5,22,29,2.5,11,71,3,0,0,0.5,0,21.5,21.5,3.5,65,21.5,12,41,0.5,0.1,3.5,10,3,3,Signalized
