link_id,link_dir,boundary_id,LL,N_aps,P_HV,S_lim,S_f,S_85mj,S_pf,S_b,N_mth,W_T,W_bl,W_swbuf,W_blbuf,W_os,W_ol,w_oi,w_oo,pwindow,pbuilding,pfence,p_pk,p_g,P_c,p_mx,H_blbuf,H_swbuf,protected,div,p_strp,curb,sharedbl,n_bus,n_xbus,p_ot,t_late,F_l,L_pt,pop,p_sh,p_be,bus,nearside
Wilson Ave-Catalina Ave,EB,Wilson Ave,370,0,0.02,30,,,3.3,10,2,10,0,5,0,8,11,0,0,0.25,0.75,0,0.25,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,8,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Wilson Ave-Catalina Ave,WB,Catalina Ave,370,0,0.02,30,,,3.3,10,2,10,0,5,0,8,11,0,0,0.25,0.75,0,0.48,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Catalina Ave-Mentor Ave,EB,Catalina Ave,400,0,0.02,25,,,3.3,10,2,8,0,5,0,8,11,0,0,0.25,0.75,0,0.55,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Catalina Ave-Mentor Ave,WB,Mentor Ave,400,0,0.02,25,,,3.3,10,2,8,0,5,0,8,11,0,0,0.25,0.75,0,0.42,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,8,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Mentor Ave-Lake Ave,EB,Mentor Ave,400,0,0.02,25,,,3.3,10,2,9,0,4,0,8,12,0,0,0.25,0.75,0,0.3,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,12,0,0.75,5,0.8,3.7,TRUE,1,1,TRUE,FALSE
Mentor Ave-Lake Ave,WB,Lake Ave,400,0,0.02,25,,,3.3,10,2,9,0,4,0,8,12,0,0,0.25,0.75,0,0.38,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,8,0,0.75,5,0.8,3.7,TRUE,0,0,FALSE,FALSE
Lake Ave-Hudson Ave,EB,Lake Ave,400,0,0.02,25,,,3.3,10,2,6,0,5,0,8,11,0,0,0.25,0.75,0,0.5,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,5,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Lake Ave-Hudson Ave,WB,Hudson Ave,400,0,0.02,25,,,3.3,10,2,6,0,5,0,8,11,0,0,0.25,0.75,0,0.2,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,16,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Hudson Ave-Oak Knoll Ave,EB,Hudson Ave,365,0,0.02,25,,,3.3,10,2,10,0,5,0,8,11,0,0,0.25,0.75,0,0.45,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,6.5,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Hudson Ave-Oak Knoll Ave,WB,Oak Knoll Ave,365,0,0.02,25,,,3.3,10,2,10,0,5,0,8,11,0,0,0.25,0.75,0,0.42,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,9,0,0.75,5,0.8,3.7,TRUE,1,1,TRUE,FALSE
Oak Knoll Ave-El Molino Ave,EB,Oak Knoll Ave,465,0,0.02,25,,,3.3,10,2,8,0,5,0,8,10,0,0,0.25,0.75,0,0.54,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,9.5,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
Oak Knoll Ave-El Molino Ave,WB,El Molino Ave,465,0,0.02,25,,,3.3,10,2,8,0,5,0,8,10,0,0,0.25,0.75,0,0.48,0,3,0.35,0,0,FALSE,0,TRUE,TRUE,FALSE,9,0,0.75,5,0.8,3.7,TRUE,0,1,TRUE,FALSE
