lo_score,hi_score,lo_space,hi_space,score
0,2,60,Inf,A
2,2.75,60,Inf,B
2.75,2.5,60,Inf,C
2.5,4.25,60,Inf,D
4.25,5,60,Inf,E
5,Inf,60,Inf,F
0,2,40,60,B
2,2.75,40,60,B
2.75,2.5,40,60,C
2.5,4.25,40,60,D
4.25,5,40,60,E
5,Inf,40,60,F
0,2,24,40,C
2,2.75,24,40,C
2.75,2.5,24,40,C
2.5,4.25,24,40,D
4.25,5,24,40,E
5,Inf,24,40,F
0,2,15,24,D
2,2.75,15,24,D
2.75,2.5,15,24,D
2.5,4.25,15,24,D
4.25,5,15,24,E
5,Inf,15,24,F
0,2,8,15,E
2,2.75,8,15,E
2.75,2.5,8,15,E
2.5,4.25,8,15,E
4.25,5,8,15,E
5,Inf,8,15,F
0,2,0,8,F
2,2.75,0,8,F
2.75,2.5,0,8,F
2.5,4.25,0,8,F
4.25,5,0,8,F
5,Inf,0,8,F
